topic,keywords
0,"student, help, administrative, mediation, quote, feedback, task, procedure, support, mediator, think, need"
1,"teacher, professional, teach, educator, secondary, experience, focus, leader, profession, literacy, student, pre-service"
2,"duolingo, day, photomath, mooc, think, class, teacher, know, intention, positive, student, negative"
3,"ethic, ethical, framework, european, europe, address, agency, guideline, literacy, union, aim, robust"
4,"youth, worker, sector, young, people, european, expert, space, democratic, social, impact, participation"
5,"child, young, people, game, social, medium, parent, harmful, bring, especially, user, view"
6,"learner, staff, extremely, unsure, provider, assessment, course, enrol, likely, workplace, neutral, academic"
7,"high, public, fear, optimism, limerick, discourse, sentiment, cork, hope, college, narrative, dublin"
8,"positifs, négatifs, sait, premier, effets, répondants, entreprises, jeunes, français, européenne, société, numérique"
