source_type,document_count,dictionary_size,no_below_value,min_diversity_used,best_num_topics,best_coherence,best_diversity,topic_id,topic_terms,topic_terms_with_weights
original,437,2000,3,0.8,3,0.4609816785214041,0.9333333333333333,0,"potential, group, ethical, staff, skill, focus, secondary, strategy, assessment, implication, experience, training, example, competence, context","potential (0.0082), group (0.0076), ethical (0.0071), staff (0.0066), skill (0.0058), focus (0.0057), secondary (0.0055), strategy (0.0050), assessment (0.0047), implication (0.0046), experience (0.0043), training (0.0042), example (0.0042), competence (0.0041), context (0.0039)"
original,437,2000,3,0.8,3,0.4609816785214041,0.9333333333333333,1,"social, high, ethical, fear, ethic, example, identify, analysis, perception, age, knowledge, help, administrative, design, mean","social (0.0108), high (0.0087), ethical (0.0078), fear (0.0067), ethic (0.0064), example (0.0061), identify (0.0052), analysis (0.0052), perception (0.0047), age (0.0045), knowledge (0.0043), help (0.0042), administrative (0.0042), design (0.0037), mean (0.0037)"
original,437,2000,3,0.8,3,0.4609816785214041,0.9333333333333333,2,"pathway, agree, comment, day, know, class, positifs, duolingo, négatifs, mooc, photomath, indicative, positive, experience, information","pathway (0.0112), agree (0.0106), comment (0.0099), day (0.0093), know (0.0093), class (0.0082), positifs (0.0081), duolingo (0.0077), négatifs (0.0075), mooc (0.0074), photomath (0.0073), indicative (0.0069), positive (0.0068), experience (0.0066), information (0.0066)"
synthetic,210,1381,3,0.65,4,0.5320578583918125,0.7333333333333333,0,"matter, help, perception, training, feedback, aware, job, experience, activity, start, narrative, protection, limerick, discourse, comment","matter (0.0066), help (0.0065), perception (0.0055), training (0.0055), feedback (0.0053), aware (0.0052), job (0.0051), experience (0.0050), activity (0.0050), start (0.0044), narrative (0.0044), protection (0.0043), limerick (0.0043), discourse (0.0041), comment (0.0041)"
synthetic,210,1381,3,0.65,4,0.5320578583918125,0.7333333333333333,1,"start, idea, matter, sensible, useful, analysis, recognise, information, day, perception, group, focus, company, social, engage","start (0.0107), idea (0.0091), matter (0.0079), sensible (0.0075), useful (0.0073), analysis (0.0064), recognise (0.0059), information (0.0059), day (0.0056), perception (0.0053), group (0.0051), focus (0.0050), company (0.0049), social (0.0049), engage (0.0048)"
synthetic,210,1381,3,0.65,4,0.5320578583918125,0.7333333333333333,2,"useful, potential, cautious, example, recognise, ethic, idea, positive, perception, focus, commission, trust, bias, project, start","useful (0.0084), potential (0.0073), cautious (0.0063), example (0.0062), recognise (0.0060), ethic (0.0060), idea (0.0052), positive (0.0052), perception (0.0050), focus (0.0049), commission (0.0048), trust (0.0047), bias (0.0046), project (0.0045), start (0.0045)"
synthetic,210,1381,3,0.65,4,0.5320578583918125,0.7333333333333333,3,"protection, negative, integrity, access, academic, fear, fair, positive, focus, trust, governance, score, potential, social, group","protection (0.0109), negative (0.0095), integrity (0.0088), access (0.0086), academic (0.0081), fear (0.0081), fair (0.0073), positive (0.0069), focus (0.0066), trust (0.0065), governance (0.0061), score (0.0061), potential (0.0056), social (0.0053), group (0.0052)"
