iteration,direction,mean_topk_similarity,mean_coverage_deficit,low_coverage_share
43,policy_to_sentiment,0.6423144936561584,0.35768550634384155,0.11038107752956636
43,sentiment_to_policy,0.6298604607582092,0.370139479637146,0.11563731931668857
44,policy_to_sentiment,0.6417123675346375,0.35828766226768494,0.12352168199737187
44,sentiment_to_policy,0.6347143054008484,0.3652856945991516,0.11957950065703023
45,policy_to_sentiment,0.6398725509643555,0.36012741923332214,0.11826544021024968
45,sentiment_to_policy,0.6325076818466187,0.36749231815338135,0.10643889618922471
46,policy_to_sentiment,0.6405442953109741,0.3594556748867035,0.10512483574244415
46,sentiment_to_policy,0.6289698481559753,0.37103015184402466,0.11563731931668857
47,policy_to_sentiment,0.6414218544960022,0.3585781753063202,0.10906701708278581
47,sentiment_to_policy,0.6316874623298645,0.3683125078678131,0.11038107752956636
48,policy_to_sentiment,0.6439332365989685,0.3560667932033539,0.10775295663600526
48,sentiment_to_policy,0.6294037103652954,0.3705962896347046,0.1116951379763469
49,policy_to_sentiment,0.6424587965011597,0.35754120349884033,0.11432325886990802
49,sentiment_to_policy,0.635089635848999,0.364910364151001,0.10775295663600526
