iteration,direction,mean_topk_similarity,mean_coverage_deficit,low_coverage_share
0,policy_to_sentiment,0.6385236382484436,0.3614763915538788,0.10775295663600526
0,sentiment_to_policy,0.6328556537628174,0.3671443462371826,0.11563731931668857
1,policy_to_sentiment,0.6431670784950256,0.35683295130729675,0.10643889618922471
1,sentiment_to_policy,0.6315779685974121,0.36842209100723267,0.11957950065703023
2,policy_to_sentiment,0.6382318139076233,0.36176827549934387,0.10775295663600526
2,sentiment_to_policy,0.6325929760932922,0.36740702390670776,0.10512483574244415
3,policy_to_sentiment,0.6450055837631226,0.35499441623687744,0.09329829172141918
3,sentiment_to_policy,0.6324281692504883,0.3675718307495117,0.10906701708278581
4,policy_to_sentiment,0.6467143893241882,0.35328564047813416,0.09724047306176084
4,sentiment_to_policy,0.6334308981895447,0.3665691316127777,0.11300919842312747
5,policy_to_sentiment,0.6390554308891296,0.36094459891319275,0.11038107752956636
5,sentiment_to_policy,0.6322970986366272,0.3677029013633728,0.11300919842312747
6,policy_to_sentiment,0.642852246761322,0.3571477234363556,0.09724047306176084
6,sentiment_to_policy,0.6315646767616272,0.3684353530406952,0.10906701708278581
7,policy_to_sentiment,0.6410223841667175,0.3589775860309601,0.11432325886990802
7,sentiment_to_policy,0.6345758438110352,0.36542412638664246,0.11038107752956636
8,policy_to_sentiment,0.6452908515930176,0.3547091484069824,0.09067017082785808
8,sentiment_to_policy,0.6321466565132141,0.3678533434867859,0.11432325886990802
9,policy_to_sentiment,0.6436196565628052,0.3563803434371948,0.09592641261498029
9,sentiment_to_policy,0.6316413879394531,0.36835864186286926,0.12089356110381078
10,policy_to_sentiment,0.6402045488357544,0.3597954213619232,0.10249671484888305
10,sentiment_to_policy,0.6367121934890747,0.3632878363132477,0.1116951379763469
11,policy_to_sentiment,0.6437022089958191,0.3562978208065033,0.10249671484888305
11,sentiment_to_policy,0.6344786286354065,0.3655213415622711,0.10249671484888305
12,policy_to_sentiment,0.644195020198822,0.3558049499988556,0.10775295663600526
12,sentiment_to_policy,0.6325709223747253,0.36742907762527466,0.12352168199737187
13,policy_to_sentiment,0.6399466395378113,0.3600533604621887,0.10775295663600526
13,sentiment_to_policy,0.6330092549324036,0.36699071526527405,0.1038107752956636
14,policy_to_sentiment,0.6448780298233032,0.3551219403743744,0.09329829172141918
14,sentiment_to_policy,0.6304658651351929,0.36953410506248474,0.11038107752956636
15,policy_to_sentiment,0.6422237753868103,0.3577762246131897,0.10775295663600526
15,sentiment_to_policy,0.6321033239364624,0.3678966760635376,0.11826544021024968
16,policy_to_sentiment,0.6395271420478821,0.36047282814979553,0.12352168199737187
16,sentiment_to_policy,0.6357266306877136,0.3642733693122864,0.11300919842312747
17,policy_to_sentiment,0.6380865573883057,0.36191344261169434,0.1287779237844941
17,sentiment_to_policy,0.6286476850509644,0.37135231494903564,0.12483574244415244
18,policy_to_sentiment,0.6359805464744568,0.3640194535255432,0.12483574244415244
18,sentiment_to_policy,0.6328323483467102,0.3671676516532898,0.11563731931668857
19,policy_to_sentiment,0.6415637135505676,0.35843634605407715,0.09724047306176084
19,sentiment_to_policy,0.6288145184516907,0.3711855113506317,0.11957950065703023
20,policy_to_sentiment,0.6428285241127014,0.3571714758872986,0.11038107752956636
20,sentiment_to_policy,0.6323803067207336,0.36761972308158875,0.12089356110381078
21,policy_to_sentiment,0.6423507332801819,0.3576492667198181,0.09592641261498029
21,sentiment_to_policy,0.6345518231391907,0.36544811725616455,0.10775295663600526
22,policy_to_sentiment,0.6424880027770996,0.3575120270252228,0.11038107752956636
22,sentiment_to_policy,0.6319518685340881,0.36804813146591187,0.1116951379763469
23,policy_to_sentiment,0.6453554034233093,0.35464462637901306,0.09198423127463863
23,sentiment_to_policy,0.6324875950813293,0.36751240491867065,0.11957950065703023
24,policy_to_sentiment,0.6395812034606934,0.36041876673698425,0.10512483574244415
24,sentiment_to_policy,0.6332497000694275,0.3667502999305725,0.11432325886990802
25,policy_to_sentiment,0.6402738690376282,0.3597261309623718,0.11563731931668857
25,sentiment_to_policy,0.6314142346382141,0.36858582496643066,0.11563731931668857
26,policy_to_sentiment,0.6382786631584167,0.36172136664390564,0.10775295663600526
26,sentiment_to_policy,0.6331890225410461,0.36681097745895386,0.10643889618922471
27,policy_to_sentiment,0.6467621326446533,0.3532378673553467,0.09855453350854139
27,sentiment_to_policy,0.6350240111351013,0.3649759888648987,0.11038107752956636
28,policy_to_sentiment,0.6413307189941406,0.35866934061050415,0.10775295663600526
28,sentiment_to_policy,0.6332795023918152,0.3667204678058624,0.11563731931668857
29,policy_to_sentiment,0.6369768977165222,0.3630230724811554,0.11432325886990802
29,sentiment_to_policy,0.630815327167511,0.3691846430301666,0.10906701708278581
30,policy_to_sentiment,0.6439744234085083,0.3560256063938141,0.08147174770039421
30,sentiment_to_policy,0.6338542699813843,0.3661457300186157,0.11563731931668857
31,policy_to_sentiment,0.6462410092353821,0.35375896096229553,0.09724047306176084
31,sentiment_to_policy,0.6313691139221191,0.36863085627555847,0.12220762155059132
32,policy_to_sentiment,0.6348456740379333,0.36515432596206665,0.11957950065703023
32,sentiment_to_policy,0.6345710754394531,0.36542895436286926,0.1287779237844941
33,policy_to_sentiment,0.6384967565536499,0.3615033030509949,0.09724047306176084
33,sentiment_to_policy,0.6322171688079834,0.367782860994339,0.1116951379763469
34,policy_to_sentiment,0.6388318538665771,0.36116814613342285,0.09855453350854139
34,sentiment_to_policy,0.6337741613388062,0.36622586846351624,0.10775295663600526
35,policy_to_sentiment,0.6377664804458618,0.36223354935646057,0.11563731931668857
35,sentiment_to_policy,0.633946418762207,0.3660535514354706,0.11695137976346912
36,policy_to_sentiment,0.6413209438323975,0.35867905616760254,0.10775295663600526
36,sentiment_to_policy,0.6296122670173645,0.3703877031803131,0.1116951379763469
37,policy_to_sentiment,0.641644299030304,0.35835570096969604,0.09855453350854139
37,sentiment_to_policy,0.633617639541626,0.366382360458374,0.11300919842312747
38,policy_to_sentiment,0.6405478715896606,0.35945215821266174,0.10906701708278581
38,sentiment_to_policy,0.6316537261009216,0.36834627389907837,0.1116951379763469
39,policy_to_sentiment,0.6406729817390442,0.3593269884586334,0.11695137976346912
39,sentiment_to_policy,0.6306636929512024,0.36933633685112,0.11826544021024968
40,policy_to_sentiment,0.6433934569358826,0.35660651326179504,0.10643889618922471
40,sentiment_to_policy,0.6329002976417542,0.36709967255592346,0.10249671484888305
41,policy_to_sentiment,0.6385889649391174,0.36141106486320496,0.11695137976346912
41,sentiment_to_policy,0.6334787607192993,0.3665212392807007,0.10775295663600526
42,policy_to_sentiment,0.6442294716835022,0.3557705581188202,0.10512483574244415
42,sentiment_to_policy,0.634178876876831,0.36582109332084656,0.11957950065703023
