country,num_topics,coherence_score,topic_diversity
australia,2,0.48609448471803457,0.9666666666666667
australia,3,0.5083472892227641,0.9111111111111111
australia,4,0.5006505393209535,0.85
australia,5,0.43129684145853575,0.8266666666666667
australia,6,0.4792871769630278,0.8
australia,7,0.4471991756760293,0.780952380952381
australia,8,0.46807056779666617,0.7833333333333333
australia,9,0.4239086956314875,0.7481481481481481
australia,10,0.4506448832029754,0.76
france,2,0.6715771482757997,1.0
france,3,0.6621866381288651,0.9777777777777777
france,4,0.6045109588495379,0.8333333333333334
france,5,0.557558724952027,0.88
france,6,0.5084637490581916,0.8222222222222222
france,7,0.5229456573820069,0.819047619047619
france,8,0.5653761916474422,0.775
france,9,0.605858507665882,0.8
france,10,0.5730229004877277,0.7933333333333333
ireland,2,0.5260986654916784,0.9333333333333333
ireland,3,0.46560858087243534,0.8666666666666667
ireland,4,0.42888620478693595,0.8333333333333334
ireland,5,0.44780354737705697,0.8
ireland,6,0.4852862777559124,0.7888888888888889
ireland,7,0.5298486394480795,0.7428571428571429
ireland,8,0.49381031387261254,0.7583333333333333
ireland,9,0.47293256164844766,0.725925925925926
ireland,10,0.4935528709538314,0.6933333333333334
usa,2,0.4467730606534553,1.0
usa,3,0.42463618722359214,0.9333333333333333
usa,4,0.444081396216636,0.8666666666666667
usa,5,0.4339358997173779,0.8
usa,6,0.4417266212740369,0.7777777777777778
usa,7,0.45995309140454005,0.8
usa,8,0.45674313488933405,0.7666666666666667
usa,9,0.442503018591489,0.7481481481481481
usa,10,0.4328002827569943,0.6866666666666666
