n_topics,coherence_npmi,silhouette_cosine,largest_topic_share,smallest_topic_share,min_topic_documents,balance_score,diversity_score,distinctiveness_score,artifact_score,reconstruction_error,n_iterations,converged,topic_keywords_preview,coherence_norm,silhouette_norm,balance_norm,diversity_norm,distinctiveness_norm,artifact_norm,granularity_norm,statistical_quality_score,statistical_selection_score,passes_selection_filters,quality_plateau_threshold,in_quality_plateau,selected_final
3,0.0644446669628047,0.7973791336217054,0.5429292929292929,0.2196969696969697,87,0.45707070707070707,1.0,1.0,0.0,19.04019583570179,37,True,"principle, privacy, framework, ethical, staff, teach | cognitive, offload, load, critical, metacognitive, study | submission, recommendation, inquiry, analysis, evidence, tension",1.0,0.890297234202268,0.0,1.0,1.0,0.0,0.0,0.7280594468404535,0.7280594468404535,True,0.5824475574723629,True,True
4,0.029266296562495266,0.8141174452725413,0.4065656565656566,0.17676767676767677,70,0.5934343434343434,1.0,1.0,0.0,18.888382628358872,31,True,"principle, framework, ethical, wellbeing, child, transparency | cognitive, offload, load, metacognitive, critical, cognitive load | submission, recommendation, inquiry, analysis, evidence, tension | staff, assessment, privacy, academic, integrity, content",0.08958771651296453,1.0,0.37762237762237766,1.0,1.0,0.0,0.14285714285714285,0.5068801763040132,0.5068801763040132,True,0.5824475574723629,False,False
5,0.025804623283285977,0.7643269864714677,0.35858585858585856,0.09595959595959595,38,0.6414141414141414,0.9666666666666667,0.991304347826087,0.0,18.78695645095299,60,True,"principle, framework, ethical, transparency, ethical principle, accountability | cognitive, offload, load, cognitive load, metacognitive, study | submission, recommendation, inquiry, analysis, evidence, tension | staff, assessment, privacy, academic, integrity, content | wellbeing, teach, social interaction, social, interaction, wellbeing social",0.0,0.6736737160379588,0.5104895104895106,0.5555555555555554,0.019801980198030707,0.0,0.2857142857142857,0.29436839888085253,0.29436839888085253,True,0.5824475574723629,False,False
6,0.044113833140649907,0.7489992635085025,0.2398989898989899,0.08838383838383838,35,0.7601010101010102,0.9722222222222222,0.9942028985507246,0.0,18.685649633819775,70,True,"principle, framework, ethical, ethical principle, set, accountability | cognitive, offload, load, cognitive load, metacognitive, learner | submission, recommendation, inquiry, analysis, evidence, tension | staff, privacy, integrity, academic, academic integrity, assessment | wellbeing, teach, social interaction, principle, social, wellbeing social | task, generate, help, content, prompt, feedback",0.47384029917825343,0.5732159376493771,0.8391608391608395,0.6296296296296292,0.3465346534653496,0.0,0.42857142857142855,0.5459358883839298,0.5459358883839298,True,0.5824475574723629,False,False
7,0.04910423306293519,0.7233232723343388,0.22474747474747475,0.0707070707070707,28,0.7752525252525253,0.9642857142857143,0.9937888198757764,0.0,18.598037988838456,122,True,"principle, framework, ethical, ethical principle, set, industry | cognitive, offload, load, cognitive load, metacognitive, learner | submission, recommendation, inquiry, analysis, evidence, tension | privacy, security, risk, transparency, safety, protection | wellbeing, teach, social interaction, principle, social, wellbeing social | generate, task, help, content, prompt, feedback | staff, academic, integrity, academic integrity, assessment, guideline",0.6029912898881956,0.40493568901012644,0.8811188811188814,0.5238095238095237,0.2998585572843023,0.0,0.5714285714285714,0.5506246735960527,0.5506246735960527,True,0.5824475574723629,False,False
8,0.04118475116316384,0.7165362803558504,0.20454545454545456,0.03535353535353535,14,0.7954545454545454,0.9479166666666666,0.9922360248447205,0.0,18.515162999046503,110,True,"principle, framework, ethical, ethical principle, industry, set | cognitive, offload, load, cognitive load, metacognitive, learner | submission, recommendation, inquiry, analysis, evidence, tension | privacy, security, risk, transparency, safety, protection | wellbeing, teach, social interaction, principle, social, wellbeing social | task, generate, help, feedback, prompt, evaluate | staff, academic, integrity, academic integrity, assessment, guideline | licence, material, creative common, license, common, creative",0.3980359858658791,0.3604537957930157,0.9370629370629371,0.30555555555555464,0.12482319660538098,0.0,0.7142857142857143,0.4418538168403418,0.4418538168403418,True,0.5824475574723629,False,False
9,0.039668492557658884,0.6925116134789551,0.19696969696969696,0.03535353535353535,14,0.803030303030303,0.9351851851851852,0.9914361001317523,0.0,18.433572319649127,104,True,"principle, framework, ethical, ethical principle, industry, set | cognitive, offload, load, cognitive load, metacognitive, learner | submission, recommendation, value, body, tension, group | privacy, security, risk, transparency, safety, protection | wellbeing, teach, social interaction, principle, social, wellbeing social | task, generate, help, feedback, prompt, evaluate | staff, academic, integrity, academic integrity, assessment, tafe | inquiry, submission, analysis, public, evidence, recommendation | licence, material, creative common, license, common, modify",0.3587953830839352,0.20299631389501518,0.958041958041958,0.13580246913580257,0.03465346534654122,0.0,0.8571428571428571,0.37483163191500635,0.37483163191500635,True,0.5824475574723629,False,False
10,0.02953302385278179,0.6615386882182511,0.18181818181818182,0.030303030303030304,12,0.8181818181818181,0.925,0.9911286780851998,0.0,18.36067826443438,111,True,"principle, ethical, framework, ethical principle, set, industry | cognitive, offload, load, cognitive load, metacognitive, learner | submission, value, recommendation, body, group, tension | privacy, security, risk, transparency, safety, protection | wellbeing, teach, social interaction, wellbeing social, social, interaction | task, generate, help, feedback, prompt, evaluate | staff, academic, integrity, academic integrity, assessment, tafe | inquiry, submission, analysis, public, evidence, recommendation | licence, material, creative common, license, common, modify | framework, curriculum, sector, ethical, review, skill",0.09649058889320215,0.0,1.0,0.0,0.0,0.0,1.0,0.23377170611262077,0.23377170611262077,True,0.5824475574723629,False,False
