n_topics,coherence_npmi,silhouette_cosine,largest_topic_share,smallest_topic_share,min_topic_documents,balance_score,diversity_score,distinctiveness_score,artifact_score,reconstruction_error,n_iterations,converged,topic_keywords_preview,coherence_norm,silhouette_norm,balance_norm,diversity_norm,distinctiveness_norm,artifact_norm,granularity_norm,statistical_quality_score,statistical_selection_score,passes_selection_filters,quality_plateau_threshold,in_quality_plateau,selected_final
3,0.09524035102578772,0.8001775924590524,0.3890977443609023,0.2819548872180451,150,0.6109022556390977,0.9444444444444444,0.9710144927536232,0.0,22.31352047984628,64,True,"literacy, guidance, staff, step, ethical, focus | write, think, english, high, teach, know | assessment, research, feedback, formative, learner, formative assessment",1.0,1.0,0.0,0.5161290322580638,0.0,0.0,0.0,0.6016129032258064,0.6016129032258064,True,0.48129032258064514,True,False
4,0.033534000479280554,0.7826565470081625,0.29135338345864664,0.17857142857142858,95,0.7086466165413534,0.9375,0.9782608695652174,0.0,22.198408192222214,113,True,"privacy, staff, guidance, address, risk, protection | think, write, english, high, teach, know | assessment, formative, feedback, research, formative assessment, learner | literacy, step, focus, action, action step, potential action",0.0,0.8984101960859455,0.44827586206896564,0.43548387096774155,0.27777777777777823,0.0,0.14285714285714285,0.34066337650553424,0.34066337650553424,True,0.48129032258064514,False,False
5,0.04515770782229116,0.7615763425090096,0.2781954887218045,0.08458646616541353,45,0.7218045112781954,0.95,0.9869565217391304,0.0,22.083986469353942,111,True,"privacy, staff, guidance, address, risk, protection | write, think, english, high, teach, know | assessment, formative, feedback, research, formative assessment, learner | literacy, step, focus, action, action step, potential action | achievement, math, disadvantage, effect, regression, socioeconomic",0.18837133034224712,0.7761838228059009,0.5086206896551723,0.5806451612903216,0.6111111111111087,0.0,0.2857142857142857,0.4420664953521442,0.4420664953521442,True,0.48129032258064514,False,False
6,0.06297727998587696,0.7198630615149071,0.25,0.08082706766917293,43,0.75,0.9861111111111112,0.9971014492753624,0.0,21.985942037165753,74,True,"literacy, guidance, educator, framework, leader, equity | write, think, english, high, know, teach | assessment, formative, feedback, formative assessment, research, learner | step, focus, action step, action, potential action, forward | achievement, math, disadvantage, effect, regression, socioeconomic | privacy, staff, protection, trust, act, child",0.47715152890795964,0.5343235954193275,0.6379310344827586,1.0,1.0,0.0,0.42857142857142855,0.601453961098203,0.601453961098203,True,0.48129032258064514,True,False
7,0.056319955089002324,0.7005830003914331,0.20300751879699247,0.05639097744360902,30,0.7969924812030076,0.9523809523809523,0.9917184265010351,0.0,21.887886156899114,131,True,"context, research, learner, edtech, recommendation, advance | write, think, english, high, know, teach | assessment, formative, formative assessment, feedback, teach, tutor | step, focus, action step, action, potential action, forward | achievement, math, disadvantage, effect, regression, socioeconomic | privacy, staff, protection, act, child, trust | literacy, guidance, educator, framework, integrate, leader",0.3692643367808364,0.42253473929914526,0.8534482758620692,0.608294930875575,0.7936507936507902,0.0,0.5714285714285714,0.5246336933581721,0.5246336933581721,True,0.48129032258064514,True,True
8,0.051007708484146916,0.6775845598743115,0.18984962406015038,0.05451127819548872,29,0.8101503759398496,0.9375,0.9905420666290231,0.0,21.798148719046726,81,True,"context, research, learner, edtech, recommendation, decision | think, write, english, high, know, teach | assessment, formative, formative assessment, feedback, tutor, teach | step, focus, action step, action, potential action, forward | achievement, math, disadvantage, effect, regression, socioeconomic | privacy, staff, protection, trust, act, security | literacy, guidance, educator, framework, integrate, professional | medium, synthetic, synthetic medium, deepfakes, equity, potential",0.2831751975300611,0.2891861289658077,0.9137931034482758,0.43548387096774155,0.7485569985569956,0.0,0.7142857142857143,0.45811125257081187,0.45811125257081187,True,0.48129032258064514,False,False
9,0.05079491798479449,0.6435098588337919,0.17857142857142858,0.05827067669172932,31,0.8214285714285714,0.9351851851851852,0.9902283706631533,0.0,21.717917552848984,92,True,"context, research, learner, edtech, recommendation, decision | think, write, english, high, know, teach | assessment, formative, formative assessment, feedback, tutor, teach | step, focus, action step, action, potential action, forward | achievement, math, disadvantage, effect, regression, math achievement | staff, academic, integrity, guidance, trust, academic integrity | literacy, educator, framework, guidance, integrate, professional | medium, synthetic, synthetic medium, deepfakes, equity, potential | privacy, act, child, protection, security, protection act",0.2797267599305624,0.09161560117743342,0.96551724137931,0.40860215053763455,0.7365319865319855,0.0,0.8571428571428571,0.4238443481940075,0.4238443481940075,True,0.48129032258064514,False,False
10,0.03800302445983657,0.6277090495951164,0.17105263157894737,0.05451127819548872,29,0.8289473684210527,0.9,0.9872639437856829,0.0,21.64170948855383,64,True,"context, research, learner, edtech, recommendation, people | think, write, english, high, know, teach | assessment, formative, formative assessment, feedback, tutor, teach | step, focus, action step, action, potential action, forward | achievement, math, disadvantage, effect, regression, socioeconomic | staff, integrity, academic, trust, academic integrity, guideline | literacy, professional, curriculum, educator, framework, instructional | medium, synthetic, synthetic medium, deepfakes, potential, equity | privacy, act, child, protection, security, protection act | guidance, leader, educator, safe, ethical, toolkit",0.07242405264572851,0.0,1.0,0.0,0.6228956228956228,0.0,1.0,0.2876379807155673,0.2876379807155673,True,0.48129032258064514,False,False
