cause_topic,relation_type,effect_topic,policy_share,sentiment_share,signed_gap,absolute_gap,log_ratio,cause_topic_code,effect_topic_code,policy_frames,policy_documents,policy_sources,policy_mean_quality,policy_mean_assignment_confidence,sentiment_frames,sentiment_documents,sentiment_sources,sentiment_mean_quality,sentiment_mean_assignment_confidence,documentary_support_score,evidence_rank_score
0,causes_or_increases,0,0.03241030613455417,0.017681966479975275,0.014728339654578898,0.014728339654578898,0.6059309285195869,P0,P0,90,26,26,0.7300525595150499,0.37212202960620433,12,6,6,0.7636154332809068,0.36866147445400915,3.4965075614664802,0.051497750970081725
0,causes_or_increases,1,0.0005637401732370671,0.008247904186072852,-0.007684164012835785,0.007684164012835785,-2.6831044233213266,P0,P1,4,4,4,0.7024047619047619,0.4565940675409894,10,5,5,0.6787909562840597,0.2989303512496764,2.302585092994046,0.017693441508076987
0,causes_or_increases,2,0.001317622903172984,0.001970746049947579,-0.0006531231467745949,0.0006531231467745949,-0.402580379204392,P0,P2,3,3,3,0.7328839562140645,0.2498529594062965,3,2,2,0.7749726662226663,0.28758816906162205,1.791759469228055,0.0011702395828054053
0,causes_or_increases,3,0.001008015876773278,0.0023326235443733943,-0.0013246076676001162,0.0013246076676001162,-0.8390040651293462,P0,P3,7,5,5,0.7405102768380079,0.2993784871188384,4,3,3,0.7867530959752321,0.4397368318096639,2.1972245773362196,0.002910460522578981
0,causes_or_increases,4,0.0016483309684579112,0.001988487715138027,-0.00034015674668011584,0.00034015674668011584,-0.18761012820411122,P0,P4,13,7,7,0.7686506129507802,0.3456216827567947,4,2,2,0.7722886904761904,0.31237345931460203,2.302585092994046,0.0007832398541869867
0,causes_or_increases,5,0.0045130329730922675,0.0014917254790185453,0.003021307494073722,0.003021307494073722,1.1070314496870775,P0,P5,17,11,11,0.7456579974282471,0.4496866518034617,2,2,2,0.4757563025210084,0.454077413721201,2.639057329615259,0.007973403687256766
0,causes_or_increases,6,0.01631004482531316,0.003137351187521157,0.013172693637792004,0.013172693637792004,1.6483997176231704,P0,P6,22,17,17,0.7190864880866615,0.40456397994034693,2,2,2,0.7814945697577276,0.4464606978759882,2.995732273553991,0.03946186346037283
0,causes_or_increases,7,0.0027814455417470773,0.003540176939340871,-0.0007587313975937937,0.0007587313975937937,-0.24120516662243283,P0,P7,13,11,11,0.7401271218659882,0.34132764630774726,3,2,2,0.7849288960666669,0.30668104176076116,2.639057329615259,0.0020023356560291304
0,causes_or_increases,8,0.0028840711036309066,0.006596482358408009,-0.0037124112547771023,0.0037124112547771023,-0.8273317059577217,P0,P8,17,10,10,0.7130307410755954,0.2983623711278332,5,5,5,0.8043656343656342,0.6201007256672995,2.772588722239781,0.01029298957731103
0,enables_or_supports,0,0.022249122074070808,0.007286288165733172,0.014962833908337636,0.014962833908337636,1.1163073790917994,P0,P0,81,25,25,0.692541982370524,0.39903005621910076,6,5,5,0.7302921207060913,0.4310660237832695,3.4339872044851463,0.05138218018406791
0,enables_or_supports,1,0.0029583705073967822,0.0038698808972562116,-0.0009115103898594294,0.0009115103898594294,-0.2685843219923074,P0,P1,10,9,9,0.6313011618735207,0.48866954964856835,8,2,2,0.6964138101073762,0.4034900282751729,2.4849066497880004,0.002265018229112549
0,enables_or_supports,2,0.0034890737099548593,0.00035632246133870157,0.0031327512486161576,0.0031327512486161576,2.2815302582118875,P0,P2,7,6,6,0.7470285043464024,0.26317681402241727,1,1,1,0.7172100840336133,0.34292347038118753,2.0794415416798357,0.006514373086121813
0,enables_or_supports,3,0.0025239242476277567,0.0016707089874892652,0.0008532152601384915,0.0008532152601384915,0.41256482827170476,P0,P3,15,8,8,0.6837189444957172,0.34086313359351533,3,2,2,0.7012010892333472,0.516251566533485,2.3978952727983707,0.002045920838965521
0,enables_or_supports,4,0.012395027962921669,0.0011730947096695143,0.011221933253252155,0.011221933253252155,2.3576423960006467,P0,P4,25,16,16,0.6746657172827172,0.40502755971039456,3,1,1,0.7579936702936703,0.27002714639552455,2.8903717578961645,0.03243555894419586
0,enables_or_supports,5,0.01116087378604559,0.00310287321714308,0.00805800056890251,0.00805800056890251,1.2800833968255096,P0,P5,38,20,20,0.6751578739519107,0.4066193435598932,4,2,2,0.6186061386530135,0.3280353758957143,3.1354942159291497,0.025265814175747615
0,enables_or_supports,6,0.00556711639607434,0.00614635574821564,-0.0005792393521412992,0.0005792393521412992,-0.09898195843219344,P0,P6,21,12,12,0.6434524983458806,0.3680733081407329,4,4,4,0.634548593073593,0.3888466878639302,2.833213344056216,0.0016411086618892067
0,enables_or_supports,7,0.014338504603161679,0.01463831952557575,-0.00029981492241407115,0.00029981492241407115,-0.02069415293120677,P0,P7,38,18,18,0.6948679174267606,0.4578511288592726,9,4,4,0.6976978594553594,0.5584114569616049,3.1354942159291497,0.0009400679550785668
0,enables_or_supports,8,0.0017757000363625953,0.004513134628414023,-0.0027374345920514282,0.0027374345920514282,-0.9327938039720285,P0,P8,11,8,8,0.7465309030690047,0.3966791414130169,3,3,3,0.6434320728291315,0.3874688348859669,2.4849066497880004,0.006802269421148296
0,expected_to_improve,0,0.023442706032127492,0.002035252680078716,0.021407453352048775,0.021407453352048775,2.443934937989932,P0,P0,10,8,8,0.6247344078800556,0.43927257379081175,3,3,3,0.7889797557997557,0.32893061238476023,2.4849066497880004,0.05319552318953242
0,expected_to_improve,1,0.0,0.0,0.0,0.0,0.0,P0,P1,0,0,0,,,0,0,0,,,0.0,0.0
0,expected_to_improve,2,0.0010370152606505834,0.0,0.0010370152606505834,0.0010370152606505834,11.549281753275402,P0,P2,3,3,3,0.6548886548636549,0.4331830583720992,0,0,0,,,1.3862943611198906,0.0014376084082351774
0,expected_to_improve,3,6.963710038191406e-05,0.0,6.963710038191406e-05,6.963710038191406e-05,8.848611254075427,P0,P3,1,1,1,0.5102857142857142,0.7453563654301556,0,0,0,,,0.6931471805599453,4.826875979209361e-05
0,expected_to_improve,4,0.0025034214042172305,0.007290029587698724,-0.004786608183481493,0.004786608183481493,-1.0688466239578662,P0,P4,6,6,6,0.6962965858807291,0.3297706300408599,2,2,2,0.6807080357142856,0.49483200079621104,2.1972245773362196,0.010517253142824213
0,expected_to_improve,5,0.002390273494711357,0.0011247514744135848,0.0012655220202977722,0.0012655220202977722,0.753840985510112,P0,P5,11,7,7,0.603390520753756,0.5428560487146442,1,1,1,0.7094464285714285,0.4648948609629095,2.1972245773362196,0.002780636086158451
0,expected_to_improve,6,0.0006306591314865434,0.0,0.0006306591314865434,0.0006306591314865434,11.051951555200928,P0,P6,3,3,3,0.6843690476190476,0.5106716508165561,0,0,0,,,1.3862943611198906,0.0008742791977685628
0,expected_to_improve,7,0.002459127033907785,0.0,0.002459127033907785,0.002459127033907785,12.41273595414558,P0,P7,9,7,7,0.663815831499655,0.4114058105600611,0,0,0,,,2.0794415416798357,0.005113610910575767
0,expected_to_improve,8,8.176437183837006e-05,0.0007684788307411254,-0.0006867144589027554,0.0006867144589027554,-2.2404621372196036,P0,P8,2,1,1,0.779843018018018,0.17498896270036868,1,1,1,0.6644071428571428,0.42995389163363307,1.0986122886681096,0.0007544329433566385
0,reduces_or_prevents,0,0.0034395835538728603,0.0005620831458274865,0.002877500408045374,0.002877500408045374,1.8114410143759894,P0,P0,15,7,7,0.7317752751865108,0.31182416527211443,1,1,1,0.8125,0.37372738567345665,2.1972245773362196,0.006322514617852296
0,reduces_or_prevents,1,0.0001189689051247615,0.004927633884245592,-0.004808664979120831,0.004808664979120831,-3.7236700293147615,P0,P1,1,1,1,0.7435714285714285,0.19109731302137264,1,1,1,0.7438961038961038,0.287182804951386,1.0986122886681096,0.0052828584381501235
0,reduces_or_prevents,2,0.0009214491307660025,0.0,0.0009214491307660025,0.0009214491307660025,11.43112861134505,P0,P2,2,2,2,0.686135531135531,0.5215290207383783,0,0,0,,,1.0986122886681096,0.0010123153384420781
0,reduces_or_prevents,3,0.0003033992362262568,0.0,0.0003033992362262568,0.0003033992362262568,10.320252694846074,P0,P3,3,1,1,0.7038868538868539,0.4403669176741416,0,0,0,,,0.6931471805599453,0.00021030032517427072
0,reduces_or_prevents,4,0.00023654035927468778,0.0,0.00023654035927468778,0.00023654035927468778,10.071331306874866,P0,P4,3,3,3,0.6428998825336586,0.36506004830136424,0,0,0,,,1.3862943611198906,0.0003279145662397727
0,reduces_or_prevents,5,0.0,0.0,0.0,0.0,0.0,P0,P5,0,0,0,,,0,0,0,,,0.0,0.0
0,reduces_or_prevents,6,0.0029831547013241845,0.0005165612348624652,0.0024665934664617195,0.0024665934664617195,1.7535267988404195,P0,P6,6,6,6,0.6814693785746417,0.5289097911882276,1,1,1,0.6585714285714286,0.7243111592131615,2.0794415416798357,0.005129136920596568
0,reduces_or_prevents,7,0.0008489002241134401,0.0020645540786644553,-0.0012156538545510152,0.0012156538545510152,-0.8887209455636058,P0,P7,2,2,2,0.7606493506493506,0.44201761449589677,1,1,1,0.8327272727272726,0.1879937307272865,1.3862943611198906,0.001685254083637732
0,reduces_or_prevents,8,0.0006061275576849409,0.0,0.0006061275576849409,0.0006061275576849409,11.012277139177861,P0,P8,2,2,2,0.6882488479262673,0.4004397659435569,0,0,0,,,1.0986122886681096,0.0006658991833730645
