n_topics,coherence_npmi,silhouette_cosine,largest_topic_share,smallest_topic_share,min_topic_documents,balance_score,diversity_score,distinctiveness_score,artifact_score,reconstruction_error,n_iterations,converged,topic_keywords_preview,coherence_norm,silhouette_norm,balance_norm,diversity_norm,distinctiveness_norm,artifact_norm,granularity_norm,statistical_quality_score,statistical_selection_score,passes_selection_filters,quality_plateau_threshold,in_quality_plateau,selected_final
3,0.03788480502936188,0.8312629283342081,0.4196642685851319,0.23741007194244604,99,0.580335731414868,1.0,1.0,0.0,19.421219091705776,25,True,"child, sexual, parent, research, abuse, child child | strategy, learner, teach, skill, professional, assessment | public, people, content, staff, bias, guideline",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.75,True,0.6000000000000001,True,False
4,0.027253596961291888,0.7883728475624152,0.3237410071942446,0.19904076738609114,83,0.6762589928057554,0.9791666666666666,0.9927536231884058,0.0,19.30571009878158,62,True,"child, sexual, parent, research, abuse, child child | strategy, learner, teach, skill, professional, leader | public, people, disability, body, recommendation, act | content, staff, source, bias, academic, accuracy",0.850208352629028,0.7758986070342876,0.41237113402061865,0.7749999999999995,0.5833333333333317,0.0,0.14285714285714285,0.671060204964474,0.671060204964474,True,0.6000000000000001,True,True
5,0.024285877880490667,0.7474927263914641,0.3213429256594724,0.06954436450839328,29,0.6786570743405276,0.9333333333333333,0.9826086956521739,0.0,19.2027682155938,58,True,"child, parent, research, child child, oco, sexual | strategy, learner, teach, skill, professional, leader | public, people, disability, disabled people, disabled, body | content, staff, source, bias, academic, personal | council, convention, council europe, europe, framework, framework convention",0.8083937698270395,0.5622992867680907,0.4226804123711341,0.2799999999999999,0.0,0.0,0.2857142857142857,0.5079337592673088,0.5079337592673088,True,0.6000000000000001,False,False
6,-0.0223686694141251,0.7290429534154227,0.31654676258992803,0.06474820143884892,27,0.6834532374100719,0.9305555555555556,0.9855072463768116,0.0,19.101142448924374,47,True,"child, parent, research, child child, sexual, abuse | strategy, learner, teach, professional, skill, leader | people, public, disability, disabled, disabled people, body | staff, content, source, bias, academic, accuracy | council, convention, council europe, europe, framework, framework convention | recommender, safety, coimisiún, coimisiún meán, meán, code",0.1510403014477764,0.4658989128487388,0.4432989690721649,0.25,0.16666666666666985,0.0,0.42857142857142855,0.2763703485575695,0.2763703485575695,True,0.6000000000000001,False,False
7,-0.024867039614631374,0.6958546611983114,0.2589928057553957,0.06474820143884892,27,0.7410071942446044,0.9166666666666666,0.9832486354225485,0.0,19.005942334752838,79,True,"child, parent, research, child child, sexual, abuse | strategy, learner, teach, skill, professional, leader | people, disability, public, disabled, disabled people, office | staff, content, source, bias, academic, accuracy | council, convention, council europe, europe, framework, guideline | procurement, infrastructure, guidance, funding, planning, advice | recommender, safety, coimisiún, meán, coimisiún meán, code",0.1158387527921381,0.2924895281571827,0.6907216494845363,0.09999999999999928,0.03679653679653808,0.0,0.5714285714285714,0.25086545268524585,0.25086545268524585,True,0.6000000000000001,False,False
8,-0.03308849858710007,0.6898349187229237,0.24940047961630696,0.050359712230215826,21,0.750599520383693,0.9270833333333334,0.9874364765669114,0.0,18.913542797864412,64,True,"child, parent, research, child child, sexual, abuse | strategy, learner, teach, skill, professional, leader | public, guideline, regulation, fundamental, act, ethical | staff, content, source, bias, academic, accuracy | convention, council, council europe, europe, framework, framework convention | procurement, infrastructure, funding, planning, guidance, advice | recommender, safety, coimisiún, meán, coimisiún meán, code | people, disability, disabled people, disabled, dpos, dpos disability",0.0,0.261036272538311,0.7319587628865978,0.21250000000000013,0.27759740259740356,0.0,0.7142857142857143,0.24760874734472216,0.24760874734472216,True,0.6000000000000001,False,False
9,0.004493581575505045,0.6398759842184475,0.19184652278177458,0.03836930455635491,16,0.8081534772182254,0.9074074074074074,0.9879227053140096,0.0,18.823747898715165,117,True,"child, parent, research, child child, unicef, people | strategy, learner, skill, progress, literacy, research | people, disability, public, disabled, disabled people, office | staff, content, source, bias, academic, personal | council, convention, council europe, europe, framework, guideline | procurement, infrastructure, funding, green, guidance, public | recommender, safety, coimisiún, meán, coimisiún meán, code | sexual, abuse, child, child sexual, sexual abuse, csam | professional, teach, leader, assessment, teach assessment, competence",0.5295241766636337,0.0,0.9793814432989687,0.0,0.3055555555555529,0.0,0.8571428571428571,0.4117653060476208,0.4117653060476208,True,0.6000000000000001,False,False
10,-0.028472647736670503,0.6659049140700231,0.18705035971223022,0.03357314148681055,14,0.8129496402877698,0.925,0.9902503293807642,0.0,18.735109172959444,63,True,"child, research, sexual, abuse, oco, child child | strategy, learner, professional, teach, leader, skill | public, guideline, regulation, fundamental, act, ethical | staff, content, source, bias, academic, accuracy | council, convention, council europe, europe, framework, framework convention | procurement, infrastructure, funding, planning, guidance, advice | recommender, safety, coimisiún, coimisiún meán, meán, code | people, disability, disabled people, disabled, dpos, dpos disability | parent, child, concern child, concern, child people, survey | progress, curriculum, literacy, term, medium, action",0.06503643786082605,0.13600159599095712,1.0,0.1900000000000002,0.43939393939394084,0.0,1.0,0.31290246638887464,0.31290246638887464,True,0.6000000000000001,False,False
